,norse_poems,norse_poems_no_italics,name,abbreviation,volume,author
735,"Beri þér beytil         fyrir brúðkonur! 
Þær skulu vingul         væta í aftan. 
Þiggi Maurnir         þetta blæti! 
En þú, dóttir bónda,         drag þú at þér Vǫlsa! ","Beri þér beytil         fyrir brúðkonur! 
Þær skulu vingul         væta í aftan. 
Þiggi Maurnir         þetta blæti! 
En þú, dóttir bónda,         drag þú at þér Vǫlsa! ",Lausavísur from Vǫlsa þáttr,Anon  6<sup>I</sup>,1,Sigvatr Þórðarson 
736,"Þess sver ek við Gefjun         ok við guðin ǫnnur, 
at ek nauðig tek         við nosa rauðum. 
Þiggi Maurnir         þetta blæti! 
En, þræll hjóna,         þríf þú við Vǫlsa! ","Þess sver ek við Gefjun         ok við guðin ǫnnur, 
at ek nauðig tek         við nosa rauðum. 
Þiggi Maurnir         þetta blæti! 
En, þræll hjóna,         þríf þú við Vǫlsa! ",Lausavísur from Vǫlsa þáttr,Anon  7<sup>I</sup>,1,Sigvatr Þórðarson 
737,"Hleifr væri mér         hálfu sæmri 
þykkr ok økkvinn         ok þó víðr 
en vǫlsi þessi         á verkdǫgum. 
Þiggi Maurnir         þetta blæti! 
En þú, þý hjóna,         þrýstu at þér Vǫlsa! ","Hleifr væri mér         hálfu sæmri 
þykkr ok økkvinn         ok þó víðr 
en vǫlsi þessi         á verkdǫgum. 
Þiggi Maurnir         þetta blæti! 
En þú, þý hjóna,         þrýstu at þér Vǫlsa! ",Lausavísur from Vǫlsa þáttr,Anon  8<sup>I</sup>,1,Sigvatr Þórðarson 
738,"Víst eigi mætta ek         við um bindast 
í mik at keyra,         ef vit ein lægum 
í andk<i>æ</i>tu. 
Þiggi Maurnir         þetta blæti! 
En þú, Grímr, gestr várr,         gríp þú við Vǫlsa! ","Víst eigi mætta ek         við um bindast 
í mik at keyra,         ef vit ein lægum 
í andkætu. 
Þiggi Maurnir         þetta blæti! 
En þú, Grímr, gestr várr,         gríp þú við Vǫlsa! ",Lausavísur from Vǫlsa þáttr,Anon  9<sup>I</sup>,1,Sigvatr Þórðarson 
739,"Legit hefik víða         fyrir andnesjum, 
snæfgum hǫndum         segl upp dregit. 
Þiggi Maurnir         þetta blæti! 
En þú, Grímr, griði minn,         gríp þú við Vǫlsa! ","Legit hefik víða         fyrir andnesjum, 
snæfgum hǫndum         segl upp dregit. 
Þiggi Maurnir         þetta blæti! 
En þú, Grímr, griði minn,         gríp þú við Vǫlsa! ",Lausavísur from Vǫlsa þáttr,Anon  10<sup>I</sup>,1,Sigvatr Þórðarson 
740,"Sá ek ei forðum         — þó hefik farit víða — 
flent reðr fyrri         fara með bekkjum. 
Þiggi Maurnir         þetta blæti! 
En þú, Aðalgrímr,         tak enn við Vǫlsa! ","Sá ek ei forðum         — þó hefik farit víða — 
flent reðr fyrri         fara með bekkjum. 
Þiggi Maurnir         þetta blæti! 
En þú, Aðalgrímr,         tak enn við Vǫlsa! ",Lausavísur from Vǫlsa þáttr,Anon  11<sup>I</sup>,1,Sigvatr Þórðarson 
741,"Verit hefik stýrir         ok stafnbúi 
ok oddviti         allra þjóða. 
Þiggi Maurnir         þetta blæti! 
En þú, hundr hjóna,         hirtu bákn þetta! ","Verit hefik stýrir         ok stafnbúi 
ok oddviti         allra þjóða. 
Þiggi Maurnir         þetta blæti! 
En þú, hundr hjóna,         hirtu bákn þetta! ",Lausavísur from Vǫlsa þáttr,Anon  12<sup>I</sup>,1,Sigvatr Þórðarson 
742,"Hvat er þat manna,         mér ókunnra, 
er hundum gefr         heilagt blæti? 
Hefi mik um hjarra         ok á hurðása, 
vita ef ek borgit fæ         blætinu helga! 
Legg þú niðr, L<i>æ</i>r<i>ir</i>,         ok lát mik eigi sjá 
ok svelg eigi niðr,         sártíkin rǫg! ","Hvat er þat manna,         mér ókunnra, 
er hundum gefr         heilagt blæti? 
Hefi mik um hjarra         ok á hurðása, 
vita ef ek borgit fæ         blætinu helga! 
Legg þú niðr, Lærir,         ok lát mik eigi sjá 
ok svelg eigi niðr,         sártíkin rǫg! ",Lausavísur from Vǫlsa þáttr,Anon  13<sup>I</sup>,1,Sigvatr Þórðarson 
743,"Enn, þótt héti        Hvinngestr faðir minn,
gerði eigi sá        garð of hestreðr,
sem Sigurðr sýr;        sá vas þinn faðir!","Enn, þótt héti        Hvinngestr faðir minn,
gerði eigi sá        garð of hestreðr,
sem Sigurðr sýr;        sá vas þinn faðir!",Lausavísur,Mgóð Lv 1<sup>II</sup>,2,Sigvatr Þórðarson 
744,"Margr kveðr sér at sorgum 
sverðrjóðr alin* verða 
— uggik allítt seggja 
ótta — búkarls dóttur. 
Enn, ef einhver bannar 
eld-Gefn fyr mér svefna, 
víst veldr siklings systir 
svinn andvǫku minni. ","Margr kveðr sér at sorgum 
sverðrjóðr alin* verða 
— uggik allítt seggja 
ótta — búkarls dóttur. 
Enn, ef einhver bannar 
eld-Gefn fyr mér svefna, 
víst veldr siklings systir 
svinn andvǫku minni. ",Lausavísur,Mgóð Lv 2<sup>II</sup>,2,Sigvatr Þórðarson 
745,"Herstillis þarfk hylli;
hǫlf eru vǫld und Kalfi.","Herstillis þarfk hylli;
hǫlf eru vǫld und Kalfi.",Poem about Óláfr helgi,Kolgr Ól 1<sup>II</sup>,2,Sigvatr Þórðarson 
746,"Mæl þú við mik,        Magnús konungr!
Ek vas í fylgju        með fǫður þínum.
Þá bark hǫggvinn        haus minn þaðan,
es þeir of dauðan        dǫgling stigu.
Þú elskar        þá arma þjóð
dróttinssvika,        es djǫful hlœgðu.","Mæl þú við mik,        Magnús konungr!
Ek vas í fylgju        með fǫður þínum.
Þá bark hǫggvinn        haus minn þaðan,
es þeir of dauðan        dǫgling stigu.
Þú elskar        þá arma þjóð
dróttinssvika,        es djǫful hlœgðu.",Lausavísa,Þflekk Lv 1<sup>II</sup>,2,Sigvatr Þórðarson 
747,"Fregnk, at suðr með Sygnum
Sighvatr hefr gram lattan
folkorrostu at freista;
fer, ef þó skulum berjask.
Fǫrum í vôpn ok verjum 
(vel tvist, konungr) lystir 
(hvé lengi skal) hringum
hans grund (til þess fundra)?","Fregnk, at suðr með Sygnum
Sighvatr hefr gram lattan
folkorrostu at freista;
fer, ef þó skulum berjask.
Fǫrum í vôpn ok verjum 
(vel tvist, konungr) lystir 
(hvé lengi skal) hringum
hans grund (til þess fundra)?",Bersǫglisvísur,Sigv Berv 1<sup>II</sup>,2,Sigvatr Þórðarson 
748,"Vask með gram, þeims gumnum
goll bauð dróttinhollum
— nafn fekk hann — en hrǫfnum
hræ, þess konungs ævi.
Fullkersk<i>a</i> sák falla
(fráneygjum son<i>r</i> grônum
gaf margan val vargi)
verðung (konungs sverðum).","Vask með gram, þeims gumnum
goll bauð dróttinhollum
— nafn fekk hann — en hrǫfnum
hræ, þess konungs ævi.
Fullkerska sák falla
(fráneygjum sonr grônum
gaf margan val vargi)
verðung (konungs sverðum).",Bersǫglisvísur,Sigv Berv 2<sup>II</sup>,2,Oddr kíkinaskáld 
749,"Fylgðak þeim, es fylgju,
fémildum gram, vildi,
— nú eru þegnar frið fegnir —
feðr þínum vel, mína.
Vasat á h<i>er</i>, með hjǫrvi,
hlið, þars stóðk í miðjum
hrœsinn (skal með hrísi)
hans flokki (við þjokkva).","Fylgðak þeim, es fylgju,
fémildum gram, vildi,
— nú eru þegnar frið fegnir —
feðr þínum vel, mína.
Vasat á her, með hjǫrvi,
hlið, þars stóðk í miðjum
hrœsinn (skal með hrísi)
hans flokki (við þjokkva).",Bersǫglisvísur,Sigv Berv 3<sup>II</sup>,2,Oddr kíkinaskáld 
750,"Gekk við móð inn mikla,
Magnús, allt í gǫgnum
ferð, þars flotnar bǫrðusk,
faðir þinn liði sínu.
Varði hart, en hjǫrtu
hugfull við þat skullu,
(Ôláfr réð svá) jǫfra
erfðir (framm at hverfa).","Gekk við móð inn mikla,
Magnús, allt í gǫgnum
ferð, þars flotnar bǫrðusk,
faðir þinn liði sínu.
Varði hart, en hjǫrtu
hugfull við þat skullu,
(Ôláfr réð svá) jǫfra
erfðir (framm at hverfa).",Bersǫglisvísur,Sigv Berv 4<sup>II</sup>,2,Oddr kíkinaskáld 
751,"Hét, sás fell á Fitjum,
fjǫlgegn, ok réð hegna
heiptar rán, en hônum,
Hôkun, firar unnu.
Þjóð helt fast á fóstra
fjǫlblíðs lǫgum síðan 
(enn eru af, þvís minnir) 
Aðalsteins (búendr seinir).","Hét, sás fell á Fitjum,
fjǫlgegn, ok réð hegna
heiptar rán, en hônum,
Hôkun, firar unnu.
Þjóð helt fast á fóstra
fjǫlblíðs lǫgum síðan 
(enn eru af, þvís minnir) 
Aðalsteins (búendr seinir).",Bersǫglisvísur,Sigv Berv 5<sup>II</sup>,2,Haraldr harðráði Sigurðarson 
752,"Rétt hykk kjósa knôttu
karlfolk ok svá jarla,
af þvít eignum lofða
Ôláfar frið gôfu.
Haralds arfi lét haldask
hvardyggr ok sonr Tryggva
lǫg, þaus lýðar þôgu,
laukjǫfn, af þeim nǫfnum.","Rétt hykk kjósa knôttu
karlfolk ok svá jarla,
af þvít eignum lofða
Ôláfar frið gôfu.
Haralds arfi lét haldask
hvardyggr ok sonr Tryggva
lǫg, þaus lýðar þôgu,
laukjǫfn, af þeim nǫfnum.",Bersǫglisvísur,Sigv Berv 6<sup>II</sup>,2,Haraldr harðráði Sigurðarson 
753,"Ungr, vask með þér, þengill,
þat haust, es komt austan;
einn, stillir, mátt alla
jǫrð hegna, svá fregnisk.
Himin þóttusk þá heiðan
hafa, es landa krafðir,
lofðungs burr, ok lifðir,
landfolk tekit hǫndum.","Ungr, vask með þér, þengill,
þat haust, es komt austan;
einn, stillir, mátt alla
jǫrð hegna, svá fregnisk.
Himin þóttusk þá heiðan
hafa, es landa krafðir,
lofðungs burr, ok lifðir,
landfolk tekit hǫndum.",Bersǫglisvísur,Sigv Berv 7<sup>II</sup>,2,Haraldr harðráði Sigurðarson 
754,"Fǫður Magnúss létk fregna
folgin jǫfurs dolga
orð, þaus eyru heyrðu
ór, á svik hvé fóru.
Mál bark hvert af heilum
hug, þvít eigi brugðumk
(ek vissa þó) ossum
(ótta) lánardróttni.","Fǫður Magnúss létk fregna
folgin jǫfurs dolga
orð, þaus eyru heyrðu
ór, á svik hvé fóru.
Mál bark hvert af heilum
hug, þvít eigi brugðumk
(ek vissa þó) ossum
(ótta) lánardróttni.",Bersǫglisvísur,Sigv Berv 8<sup>II</sup>,2,Haraldr harðráði Sigurðarson 
755,"Skulut ráðgjafar reiðask
(ryðr þat, konungr) yðrir
(dróttins orð til dýrðar)
dǫglingr, við bersǫgli.
Hafa kveðask lǫg, nema ljúgi
landherr, búendr verri
endr í Ulfasundum
ǫnnur, an þú hézt mǫnnum.","Skulut ráðgjafar reiðask
(ryðr þat, konungr) yðrir
(dróttins orð til dýrðar)
dǫglingr, við bersǫgli.
Hafa kveðask lǫg, nema ljúgi
landherr, búendr verri
endr í Ulfasundum
ǫnnur, an þú hézt mǫnnum.",Bersǫglisvísur,Sigv Berv 9<sup>II</sup>,2,Haraldr harðráði Sigurðarson 
756,"Gjalt varhuga, veltir,
viðr, þeims nú ferr heðra,
þjófs (skal hǫnd í hófi)
hǫlða kvitt (of stytta).
Vinrs, sás varmra benja
vǫrnuð býðr, en hlýðið,
tármútaris teitir,
til, hvat búmenn vilja.","Gjalt varhuga, veltir,
viðr, þeims nú ferr heðra,
þjófs (skal hǫnd í hófi)
hǫlða kvitt (of stytta).
Vinrs, sás varmra benja
vǫrnuð býðr, en hlýðið,
tármútaris teitir,
til, hvat búmenn vilja.",Bersǫglisvísur,Sigv Berv 10<sup>II</sup>,2,Haraldr harðráði Sigurðarson 
757,"Hverr eggjar þik hǫggva,
hjaldrgegnir, bú þegna?
Ofrausn es þat jǫfri
innanlands at vinna.
Engr hafði svá ungum
áðr bragningi ráðit;
rán hykk rekkum þínum
— reiðrs herr, konungr — leiðask.","Hverr eggjar þik hǫggva,
hjaldrgegnir, bú þegna?
Ofrausn es þat jǫfri
innanlands at vinna.
Engr hafði svá ungum
áðr bragningi ráðit;
rán hykk rekkum þínum
— reiðrs herr, konungr — leiðask.",Bersǫglisvísur,Sigv Berv 11<sup>II</sup>,2,Haraldr harðráði Sigurðarson 
758,"Hætts, þats allir ætla
— áðr skal við því ráða — 
hárir menn, es heyrik,
hót, skjǫldungi at móti.
Greypts, þats hǫfðum hneppta,
heldr, ok niðr í feldi
— slegit hefr þǫgn á þegna — 
þingmenn nǫsum stinga.","Hætts, þats allir ætla
— áðr skal við því ráða — 
hárir menn, es heyrik,
hót, skjǫldungi at móti.
Greypts, þats hǫfðum hneppta,
heldr, ok niðr í feldi
— slegit hefr þǫgn á þegna — 
þingmenn nǫsum stinga.",Bersǫglisvísur,Sigv Berv 12<sup>II</sup>,2,Haraldr harðráði Sigurðarson 
759,"Hverr eggjar þik, harri
heiptarstrangr, at ganga
(opt reynir þú) þínum
(þunn stôl) á bak môlum?
Fastorðr skyli fyrða
fengsæll vesa þengill;
hœfir heit at rjúfa,
hjaldrmǫgnuðr, þér aldri.","Hverr eggjar þik, harri
heiptarstrangr, at ganga
(opt reynir þú) þínum
(þunn stôl) á bak môlum?
Fastorðr skyli fyrða
fengsæll vesa þengill;
hœfir heit at rjúfa,
hjaldrmǫgnuðr, þér aldri.",Bersǫglisvísur,Sigv Berv 13<sup>II</sup>,2,Haraldr harðráði Sigurðarson 
760,"Eitt es mál, þats mæla:
‘minn dróttinn leggr sína
eign á óðǫl þegna’;
ǫfgask búendr gǫfgir.
Rán mun seggr, hinns sína
selr út, í því telja,
flaums at fellidómi
fǫðurleifð konungs greifum.","Eitt es mál, þats mæla:
‘minn dróttinn leggr sína
eign á óðǫl þegna’;
ǫfgask búendr gǫfgir.
Rán mun seggr, hinns sína
selr út, í því telja,
flaums at fellidómi
fǫðurleifð konungs greifum.",Bersǫglisvísur,Sigv Berv 14<sup>II</sup>,2,Haraldr harðráði Sigurðarson 
761,"Syni Ôláfs biðk snúðar
— síð kveða aptans bíða
óframs sǫk; meðal okkar
allts hôligt — svá mála.
Erum, Magnús, vér vægnir;
vildak með þér mildum
— Haralds varðar þú hjǫrvi
haukey — lifa ok deyja.","Syni Ôláfs biðk snúðar
— síð kveða aptans bíða
óframs sǫk; meðal okkar
allts hôligt — svá mála.
Erum, Magnús, vér vægnir;
vildak með þér mildum
— Haralds varðar þú hjǫrvi
haukey — lifa ok deyja.",Bersǫglisvísur,Sigv Berv 15<sup>II</sup>,2,Haraldr harðráði Sigurðarson 
762,"Ôláfr lét mik jǫfra
órýrr framask dýrða
— urðu drjúg ins digra
dróttins þing — með hringum.
Goll bark jafnt of allan
aldr han<i>s</i>, ok v<i>a</i>sk sjaldan
hrygg<i>r</i>, á hvárritveggju
hendi flotna sendis.","Ôláfr lét mik jǫfra
órýrr framask dýrða
— urðu drjúg ins digra
dróttins þing — með hringum.
Goll bark jafnt of allan
aldr hans, ok vask sjaldan
hryggr, á hvárritveggju
hendi flotna sendis.",Bersǫglisvísur,Sigv Berv 16<sup>II</sup>,2,Haraldr harðráði Sigurðarson 
763,"Sighvats <i>es</i> <i>hugr</i> hi<i>z</i>ig
Hǫrðaknúts í garði,
mildr nema mjǫk vel skaldi
Magnús konungr fagni.
Fórk með feðrum þeira
— fekk ung<i>um</i> mér tunga
golls; vask enn með ǫllu
óskeggjaðr þá — beggja.","Sighvats es hugr hizig
Hǫrðaknúts í garði,
mildr nema mjǫk vel skaldi
Magnús konungr fagni.
Fórk með feðrum þeira
— fekk ungum mér tunga
golls; vask enn með ǫllu
óskeggjaðr þá — beggja.",Bersǫglisvísur,Sigv Berv 17<sup>II</sup>,2,Haraldr harðráði Sigurðarson 
764,"Lát auman nú njóta,
Nóregs, ok gef stórum,
— môl halt * — svá sem sælan,
sinjórr, laga þinna.","Lát auman nú njóta,
Nóregs, ok gef stórum,
— môl halt * — svá sem sælan,
sinjórr, laga þinna.",Bersǫglisvísur,Sigv Berv 18<sup>II</sup>,2,Haraldr harðráði Sigurðarson 
765,"Vas fyr Míkjálsmessu
malmgrimm háið rimma;
fellu Vinðr, en vǫnðusk
vápnhljóði mjǫk þjóðir.
Enn fyr jól vas ǫnnur
óhlítulig lítlu
— upp hófsk grimm með gumnum
gunnr — fyr Árós sunnan.","Vas fyr Míkjálsmessu
malmgrimm háið rimma;
fellu Vinðr, en vǫnðusk
vápnhljóði mjǫk þjóðir.
Enn fyr jól vas ǫnnur
óhlítulig lítlu
— upp hófsk grimm með gumnum
gunnr — fyr Árós sunnan.",Poem about Magnús góði,Okík Magn 1<sup>II</sup>,2,Haraldr harðráði Sigurðarson 
766,"Felldu menn, þás mildan,
mǫrg tôr, í grǫf bôru
(þung byrðr vas sú) þengil
(þeim, es hann gaf seima).
Deildisk hugr, svát heldu
húskarlar grams varla
— siklings þjóð en síðan
sat opt hnipin — vatni.","Felldu menn, þás mildan,
mǫrg tôr, í grǫf bôru
(þung byrðr vas sú) þengil
(þeim, es hann gaf seima).
Deildisk hugr, svát heldu
húskarlar grams varla
— siklings þjóð en síðan
sat opt hnipin — vatni.",Poem about Magnús góði,Okík Magn 2<sup>II</sup>,2,Haraldr harðráði Sigurðarson 
767,"Mák, síz Magnúss ævi
móðfíkins þraut góða
— Odd hafa stríð of staddan —
stilli<i>s</i>, harða illa.
Hvarflak hvers manns þurfi;
harmr strangr fær mér angrat;
þjóðs at dǫgling dauðan
dǫpr; því fǫrum * aprir.","Mák, síz Magnúss ævi
móðfíkins þraut góða
— Odd hafa stríð of staddan —
stillis, harða illa.
Hvarflak hvers manns þurfi;
harmr strangr fær mér angrat;
þjóðs at dǫgling dauðan
dǫpr; því fǫrum * aprir.",Poem about Magnús góði,Okík Magn 3<sup>II</sup>,2,Haraldr harðráði Sigurðarson 
768,"Fundr vas þess, at Þrœndir
þeir hǫfðu lið meira;
varð, sús vér of gerðum,
víst errilig snerra.
Skilðumk ungr við ungan
allvald í styr fallinn;
þó lætr Gerðr í Gǫrðum
gollhrings við mér skolla.","Fundr vas þess, at Þrœndir
þeir hǫfðu lið meira;
varð, sús vér of gerðum,
víst errilig snerra.
Skilðumk ungr við ungan
allvald í styr fallinn;
þó lætr Gerðr í Gǫrðum
gollhrings við mér skolla.",Gamanvísur,Hharð Gamv 1<sup>II</sup>,2,Haraldr harðráði Sigurðarson 
769,"Sneið fyr Sikiley víða
súð; vôrum þá prúðir;
brýnt skreið vel til vánar
vengis hjǫrtr und drengjum.
Vættik miðr, at motti
myni enn þinig nenna;
þó lætr Gerðr í Gǫrðum
gollhrings við mér skolla.","Sneið fyr Sikiley víða
súð; vôrum þá prúðir;
brýnt skreið vel til vánar
vengis hjǫrtr und drengjum.
Vættik miðr, at motti
myni enn þinig nenna;
þó lætr Gerðr í Gǫrðum
gollhrings við mér skolla.",Gamanvísur,Hharð Gamv 2<sup>II</sup>,2,Haraldr harðráði Sigurðarson 
770,"Senn jósum vér, svanni,
sextán, þás brim vexti,
— dreif á hlaðna húfa
húm — í fjórum rúmum.
Vættik miðr, at motti
myni enn þinig nenna;
þó lætr Gerðr í Gǫrðum
gollhrings við mér skolla.","Senn jósum vér, svanni,
sextán, þás brim vexti,
— dreif á hlaðna húfa
húm — í fjórum rúmum.
Vættik miðr, at motti
myni enn þinig nenna;
þó lætr Gerðr í Gǫrðum
gollhrings við mér skolla.",Gamanvísur,Hharð Gamv 3<sup>II</sup>,2,Haraldr harðráði Sigurðarson 
771,"Íþróttir kannk átta:
Yg<i>g</i>s fetk líð at smíða;
fœrr emk hvasst á hesti;
hefk sund numit stundum.
Skríða kannk á skíðum;
skýtk ok rœk, svát nýtir;
hvártveggja kannk hyggja
harpslôtt ok bragþôttu.","Íþróttir kannk átta:
Yggs fetk líð at smíða;
fœrr emk hvasst á hesti;
hefk sund numit stundum.
Skríða kannk á skíðum;
skýtk ok rœk, svát nýtir;
hvártveggja kannk hyggja
harpslôtt ok bragþôttu.",Gamanvísur,Hharð Gamv 4<sup>II</sup>,2,Haraldr harðráði Sigurðarson 
772,"Oss munat ekkja kenna
ung né mær, at værim,
þars gerðum svip sverða,
síð í borg of morgun.
Ruddumk umb með oddi;
eru merki þar verka;
þó lætr Gerðr í Gǫrðum
gollhrings við mér skolla.","Oss munat ekkja kenna
ung né mær, at værim,
þars gerðum svip sverða,
síð í borg of morgun.
Ruddumk umb með oddi;
eru merki þar verka;
þó lætr Gerðr í Gǫrðum
gollhrings við mér skolla.",Gamanvísur,Hharð Gamv 5<sup>II</sup>,2,Þjóðólfr Arnórsson 
773,"Fœddr vas ek, þars alma
Upplendingar bendu;
nú lætk við sker skolla
skeiðr búmǫnnum leiðar.
Vítt hef ek, sízt ýttum,
eygarð skotit barði;
þó lætr Gerðr í Gǫrðum
gollhrings við mér skolla.","Fœddr vas ek, þars alma
Upplendingar bendu;
nú lætk við sker skolla
skeiðr búmǫnnum leiðar.
Vítt hef ek, sízt ýttum,
eygarð skotit barði;
þó lætr Gerðr í Gǫrðum
gollhrings við mér skolla.",Gamanvísur,Hharð Gamv 6<sup>II</sup>,2,Þjóðólfr Arnórsson 
774,"Þora munk þann arm verja,
— þats ekkju munr nekkvat — 
— rjóðum vér af reiði
rǫnd — es í hlýtk standa.
Gengra greppr inn ungi
gunnblíðr, þars slǫg ríða,
— herða menn at morði
mót — á hæl fyr spjótum.","Þora munk þann arm verja,
— þats ekkju munr nekkvat — 
— rjóðum vér af reiði
rǫnd — es í hlýtk standa.
Gengra greppr inn ungi
gunnblíðr, þars slǫg ríða,
— herða menn at morði
mót — á hæl fyr spjótum.",Lausavísur,Hharð Lv 1<sup>II</sup>,2,Þjóðólfr Arnórsson 
775,"R<i>é</i>ðk, en benjar blœða,
— búþegna sák megna
lið; fekk lindar váði
lífs grand — í bǫð standa.","Réðk, en benjar blœða,
— búþegna sák megna
lið; fekk lindar váði
lífs grand — í bǫð standa.",Lausavísur,Hharð Lv 2a<sup>II</sup>,2,Þjóðólfr Arnórsson 
776,"Nú lætk skóg af skógi
skreiðask lítils heiðar;
hverr veit, nema verðak
víða frægr of síðir?","Nú lætk skóg af skógi
skreiðask lítils heiðar;
hverr veit, nema verðak
víða frægr of síðir?",Lausavísur,Hharð Lv 2b<sup>II</sup>,2,Þjóðólfr Arnórsson 
777,"Þegi þú, Þórir!        Þegn est ógegn;
heyrðak, at héti        Hvinngestr faðir þinn.","Þegi þú, Þórir!        Þegn est ógegn;
heyrðak, at héti        Hvinngestr faðir þinn.",Lausavísur,Hharð Lv 3<sup>II</sup>,2,Þjóðólfr Arnórsson 
778,"Lôtum vér, meðan lirlar
líneik veri sínum
Gerðr, í Goðnarfirði,
galdrs, akkeri halda.","Lôtum vér, meðan lirlar
líneik veri sínum
Gerðr, í Goðnarfirði,
galdrs, akkeri halda.",Lausavísur,Hharð Lv 4<sup>II</sup>,2,Þjóðólfr Arnórsson 
779,Logit hefr Baldr at Baldri.,Logit hefr Baldr at Baldri.,Lausavísur,Hharð Lv 5<sup>II</sup>,2,Þjóðólfr Arnórsson 
780,"Hér sék upp inn ǫrva
Einar, þanns kann skeina
þjalfa, þambarskelfi,
þangs, fjǫlmennan ganga.
Fullafli bíðr fyllar 
(finnk opt at drífr minna) 
hilmis stóls (á hæla
húskarla lið jarli).","Hér sék upp inn ǫrva
Einar, þanns kann skeina
þjalfa, þambarskelfi,
þangs, fjǫlmennan ganga.
Fullafli bíðr fyllar 
(finnk opt at drífr minna) 
hilmis stóls (á hæla
húskarla lið jarli).",Lausavísur,Hharð Lv 6<sup>II</sup>,2,Þjóðólfr Arnórsson 
781,"Rjóðandi mun ráða
randabliks ór landi
oss, nema Einarr kyssi
øxar munn inn þunna.","Rjóðandi mun ráða
randabliks ór landi
oss, nema Einarr kyssi
øxar munn inn þunna.",Lausavísur,Hharð Lv 7<sup>II</sup>,2,Þjóðólfr Arnórsson 
782,"Nú emk ellifu allra
— eggjumk vígs — ok tveggja 
 — þau ’ro enn, svát mank, manna
morð — ráðbani orðinn.
Ginn en gráleik inna,
(golls) es ferr með skolli,
(lýtendr kveða lítit
lauki gæft til auka).","Nú emk ellifu allra
— eggjumk vígs — ok tveggja 
 — þau ’ro enn, svát mank, manna
morð — ráðbani orðinn.
Ginn en gráleik inna,
(golls) es ferr með skolli,
(lýtendr kveða lítit
lauki gæft til auka).",Lausavísur,Hharð Lv 8<sup>II</sup>,2,Þjóðólfr Arnórsson 
783,"‘Hvert stillir þú, Halli?’
‘Hleypk framm at skyrkaupi.’
‘Graut munt gørva láta?’
‘Gǫrr matr es þat — smjǫrvan.’","‘Hvert stillir þú, Halli?’
‘Hleypk framm at skyrkaupi.’
‘Graut munt gørva láta?’
‘Gǫrr matr es þat — smjǫrvan.’",Lausavísur,Hharð Lv 9<sup>II</sup>,2,Þjóðólfr Arnórsson 
784,"Hj<i>o</i>ggu harða dyggvir
hirðmenn Dani stirða;
sótti ferð á flótta
framm; en þat vas skǫmmu.
Hitt vas fyrr, es fjarri
fóstrlandi rauðk branda;
sverð í Serkja garði
sǫng; en þat vas lǫngu.","Hjoggu harða dyggvir
hirðmenn Dani stirða;
sótti ferð á flótta
framm; en þat vas skǫmmu.
Hitt vas fyrr, es fjarri
fóstrlandi rauðk branda;
sverð í Serkja garði
sǫng; en þat vas lǫngu.",Lausavísur,Hharð Lv 10<sup>II</sup>,2,Þjóðólfr Arnórsson 
785,"Hlautk af hrauðung skjóta
hlýri, mær in skýra;
súð gekk feld á flœði
framm; vas þat fyr skǫmmu.
Enn fyr England sunnan
óð borð und mér norðan;
ristin skalf í rǫstum
rǫng; en þat vas lǫngu.","Hlautk af hrauðung skjóta
hlýri, mær in skýra;
súð gekk feld á flœði
framm; vas þat fyr skǫmmu.
Enn fyr England sunnan
óð borð und mér norðan;
ristin skalf í rǫstum
rǫng; en þat vas lǫngu.",Lausavísur,Hharð Lv 11<sup>II</sup>,2,Þjóðólfr Arnórsson 
786,"Kennir kyrtil þenna?
Kú átt skjǫldungi gjalda,
ok alvaxinn oxa
átt skjǫldungi gjalda.
Bǫrn ok allt, þats árnar,
átt skjǫldungi gjalda;
svín ok aligás eina
átt skjǫldungi at gjalda.
Margar eru manna vélar:
mosa átt ok skjǫldungi at gjalda.","Kennir kyrtil þenna?
Kú átt skjǫldungi gjalda,
ok alvaxinn oxa
átt skjǫldungi gjalda.
Bǫrn ok allt, þats árnar,
átt skjǫldungi gjalda;
svín ok aligás eina
átt skjǫldungi at gjalda.
Margar eru manna vélar:
mosa átt ok skjǫldungi at gjalda.",Lausavísur,Hharð Lv 12<sup>II</sup>,2,Þjóðólfr Arnórsson 
787,"Framm gǫngum vér        í fylkingu
brynjulausir        und bláar eggjar.
Hjalmar skína;        — hefkat mína — 
nú liggr skrúð várt        at skipum niðri.","Framm gǫngum vér        í fylkingu
brynjulausir        und bláar eggjar.
Hjalmar skína;        — hefkat mína — 
nú liggr skrúð várt        at skipum niðri.",Lausavísur,Hharð Lv 13<sup>II</sup>,2,Þjóðólfr Arnórsson 
788,"Krjúpum vér fyr vápna 
(valteigs) brǫkun eigi 
(svá bauð Hildr) at hjaldri 
(haldorð) í bug skjaldar.
Hôtt bað mik, þars mœttusk,
menskorð bera forðum,
Hlakkar íss ok hausar,
hjalmstall í gný malma.","Krjúpum vér fyr vápna 
(valteigs) brǫkun eigi 
(svá bauð Hildr) at hjaldri 
(haldorð) í bug skjaldar.
Hôtt bað mik, þars mœttusk,
menskorð bera forðum,
Hlakkar íss ok hausar,
hjalmstall í gný malma.",Lausavísur,Hharð Lv 14<sup>II</sup>,2,Þjóðólfr Arnórsson 
