,norse_poems,norse_poems_no_italics,name,abbreviation,volume,author
10,"Ok varð hinn, 
es Ôlfr of vá, 
vǫrðr véstalls 
of veginn liggja, 
es dǫglingr 
dreyrgan mæki 
ǫfundgjarn 
á Yngva rauð. 
Vasa þat bært, 
at Bera skyldi 
valsœfendr 
vígs of hvetja, 
þás brœðr tveir 
at bǫnum urðusk 
óþurfendr 
of afbrýði. ","Ok varð hinn, 
es Ôlfr of vá, 
vǫrðr véstalls 
of veginn liggja, 
es dǫglingr 
dreyrgan mæki 
ǫfundgjarn 
á Yngva rauð. 
Vasa þat bært, 
at Bera skyldi 
valsœfendr 
vígs of hvetja, 
þás brœðr tveir 
at bǫnum urðusk 
óþurfendr 
of afbrýði. ",Ynglingatal,Þjóð Yt 11<sup>I</sup>,1,Þjóðólfr ór Hvini 
11,"Varð Jǫrundr, 
hinns endr of dó, 
lífs of lattr 
í Limafirði, 
þás hábrjóstr 
hǫrva Sleipnir 
bana Goðlaugs 
of bera skyldi. 
Ok Hagbarðs 
hersa valdi 
hǫðnu leif 
at halsi gekk. ","Varð Jǫrundr, 
hinns endr of dó, 
lífs of lattr 
í Limafirði, 
þás hábrjóstr 
hǫrva Sleipnir 
bana Goðlaugs 
of bera skyldi. 
Ok Hagbarðs 
hersa valdi 
hǫðnu leif 
at halsi gekk. ",Ynglingatal,Þjóð Yt 12<sup>I</sup>,1,Þjóðólfr ór Hvini 
12,"Knátti endr 
at Uppsǫlum 
ánasótt 
Aun of standa. 
Ok þrálífr 
þiggja skyldi 
jóðs alað 
ǫðru sinni. 
Ok sveiðurs 
at sér hverfði 
mækis hlut 
inn mjávara, 
es okhreins 
ôttunga rjóðr 
lǫgðis odd 
liggjandi drakk. 
Máttit hárr 
hjarðar mæki 
austrkonungr 
upp of halda. ","Knátti endr 
at Uppsǫlum 
ánasótt 
Aun of standa. 
Ok þrálífr 
þiggja skyldi 
jóðs alað 
ǫðru sinni. 
Ok sveiðurs 
at sér hverfði 
mækis hlut 
inn mjávara, 
es okhreins 
ôttunga rjóðr 
lǫgðis odd 
liggjandi drakk. 
Máttit hárr 
hjarðar mæki 
austrkonungr 
upp of halda. ",Ynglingatal,Þjóð Yt 13<sup>I</sup>,1,Þjóðólfr ór Hvini 
13,"Ok lofsæll 
ór landi fló 
Týs ôttungr 
Tunna ríki. 
En flæmingr 
farra trjónu 
jǫtuns eykr 
á Agli rauð, 
sás of austmǫrk 
áðan hafði 
brúna hǫrg 
of borinn lengi. 
En skíðlauss 
Skilfinga nið 
hœfis hjǫrr 
til hjarta stóð. ","Ok lofsæll 
ór landi fló 
Týs ôttungr 
Tunna ríki. 
En flæmingr 
farra trjónu 
jǫtuns eykr 
á Agli rauð, 
sás of austmǫrk 
áðan hafði 
brúna hǫrg 
of borinn lengi. 
En skíðlauss 
Skilfinga nið 
hœfis hjǫrr 
til hjarta stóð. ",Ynglingatal,Þjóð Yt 14<sup>I</sup>,1,Þjóðólfr ór Hvini 
14,"Fell Óttarr 
und ara greipar 
dugandligr 
fyr Dana vôpnum. 
Þann hergammr 
hrægum fœti 
ví<i>ð</i>s borinn 
á Vendli sparn. 
Þau frák verk 
Vǫtts ok Fasta 
sœnskri þjóð 
at sǫgum verða, 
at eylands 
jarlar Fróða 
vígfrǫmuð 
of veginn hǫfðu. ","Fell Óttarr 
und ara greipar 
dugandligr 
fyr Dana vôpnum. 
Þann hergammr 
hrægum fœti 
víðs borinn 
á Vendli sparn. 
Þau frák verk 
Vǫtts ok Fasta 
sœnskri þjóð 
at sǫgum verða, 
at eylands 
jarlar Fróða 
vígfrǫmuð 
of veginn hǫfðu. ",Ynglingatal,Þjóð Yt 15<sup>I</sup>,1,Þjóðólfr ór Hvini 
15,"Þat frák enn, 
at Aðils fjǫrvi 
vitta véttr 
of viða skyldi. 
Ok dáðgjarn 
af drasils bógum 
Freys ôttungr 
falla skyldi. 
Ok við aur 
ægir hjarna 
bragnings burs 
of blandinn varð. 
Ok dáðsæll 
deyja skyldi 
Ála dolgr 
at Uppsǫlum. ","Þat frák enn, 
at Aðils fjǫrvi 
vitta véttr 
of viða skyldi. 
Ok dáðgjarn 
af drasils bógum 
Freys ôttungr 
falla skyldi. 
Ok við aur 
ægir hjarna 
bragnings burs 
of blandinn varð. 
Ok dáðsæll 
deyja skyldi 
Ála dolgr 
at Uppsǫlum. ",Ynglingatal,Þjóð Yt 16<sup>I</sup>,1,Þjóðólfr ór Hvini 
16,"Veitk Eysteins 
enda folginn 
lokins lífs 
á Lófundi. 
Ok sikling 
með Svíum kvôðu 
józka menn 
inni brenna. 
Ok bitsótt 
í brandnói 
hlíðar þangs 
á hilmi rann, 
þás timbrfastr 
toptar nǫkkvi 
flotna fullr 
of fylki brann. ","Veitk Eysteins 
enda folginn 
lokins lífs 
á Lófundi. 
Ok sikling 
með Svíum kvôðu 
józka menn 
inni brenna. 
Ok bitsótt 
í brandnói 
hlíðar þangs 
á hilmi rann, 
þás timbrfastr 
toptar nǫkkvi 
flotna fullr 
of fylki brann. ",Ynglingatal,Þjóð Yt 17<sup>I</sup>,1,Þjóðólfr ór Hvini 
17,"Þat stǫkk upp, 
at Yngvari 
Sýslu kind 
of sóit hafði. 
Ok Ljósh<i>a</i>m* 
við lagar hjarta 
herr eistneskr 
at hilmi vá. 
Ok austmarr 
jǫfri sœnskum 
Gymis ljóð 
at gamni kveðr. ","Þat stǫkk upp, 
at Yngvari 
Sýslu kind 
of sóit hafði. 
Ok Ljósham* 
við lagar hjarta 
herr eistneskr 
at hilmi vá. 
Ok austmarr 
jǫfri sœnskum 
Gymis ljóð 
at gamni kveðr. ",Ynglingatal,Þjóð Yt 18<sup>I</sup>,1,Þjóðólfr ór Hvini 
18,"Varð Ǫnundr 
Jónakrs bura 
harmi heptr 
und Himinfjǫllum. 
Ok ofvæg 
Eistra dolgi 
heipt hrísungs 
at hendi kom. 
Ok sá frǫmuðr 
foldar beinum 
Hǫgna *reyrs 
of horfinn vas. ","Varð Ǫnundr 
Jónakrs bura 
harmi heptr 
und Himinfjǫllum. 
Ok ofvæg 
Eistra dolgi 
heipt hrísungs 
at hendi kom. 
Ok sá frǫmuðr 
foldar beinum 
Hǫgna *reyrs 
of horfinn vas. ",Ynglingatal,Þjóð Yt 19<sup>I</sup>,1,Þjóðólfr ór Hvini 
19,"Ok Ingjald 
ífjǫrvan trað 
reyks rausuðr 
á Ræningi, 
þás húsþjófr 
hyrjar leistum 
goðkynning 
í gǫgnum sté. 
Ok sá yrðr 
allri þjóðu 
sanngǫrvastr 
með Svíum þótti, 
es hann sjalfr 
sínu fjǫrvi 
frœknu fyrstr 
of fara skyldi. ","Ok Ingjald 
ífjǫrvan trað 
reyks rausuðr 
á Ræningi, 
þás húsþjófr 
hyrjar leistum 
goðkynning 
í gǫgnum sté. 
Ok sá yrðr 
allri þjóðu 
sanngǫrvastr 
með Svíum þótti, 
es hann sjalfr 
sínu fjǫrvi 
frœknu fyrstr 
of fara skyldi. ",Ynglingatal,Þjóð Yt 20<sup>I</sup>,1,Þjóðólfr ór Hvini 
20,"Ok við vág 
†hinn es viðjar† 
hræ Ôleifs 
hofgylðir svalg. 
Ok glóðfjalgr 
gǫrvar leysti 
sonr Fornjóts 
af Svía jǫfri. 
Sá áttkonr 
frá Uppsǫlum 
lofða kyns 
fyr lǫngu hvarf. ","Ok við vág 
†hinn es viðjar† 
hræ Ôleifs 
hofgylðir svalg. 
Ok glóðfjalgr 
gǫrvar leysti 
sonr Fornjóts 
af Svía jǫfri. 
Sá áttkonr 
frá Uppsǫlum 
lofða kyns 
fyr lǫngu hvarf. ",Ynglingatal,Þjóð Yt 21<sup>I</sup>,1,Þjóðólfr ór Hvini 
21,"Þat frá hverr, 
at Halfdanar 
sǫkmiðlendr 
sakna skyldu. 
Ok hallvarps 
hlífi-Nauma 
þjóðkonung 
á Þótni tók. 
Ok Skæreið 
í Skíringssal 
of brynjalfs 
beinum drúpir. ","Þat frá hverr, 
at Halfdanar 
sǫkmiðlendr 
sakna skyldu. 
Ok hallvarps 
hlífi-Nauma 
þjóðkonung 
á Þótni tók. 
Ok Skæreið 
í Skíringssal 
of brynjalfs 
beinum drúpir. ",Ynglingatal,Þjóð Yt 22<sup>I</sup>,1,Þjóðólfr ór Hvini 
22,"En Eysteinn 
fyr ási fór 
til Býleists 
bróður meyjar. 
Ok nú liggr 
und lagar beinum 
rekks lǫðuðr 
á raðar braddi, 
þars élkaldr 
hjá jǫfur gauzkum 
Vǫðlu straumr 
at vági kømr. ","En Eysteinn 
fyr ási fór 
til Býleists 
bróður meyjar. 
Ok nú liggr 
und lagar beinum 
rekks lǫðuðr 
á raðar braddi, 
þars élkaldr 
hjá jǫfur gauzkum 
Vǫðlu straumr 
at vági kømr. ",Ynglingatal,Þjóð Yt 23<sup>I</sup>,1,Þjóðólfr ór Hvini 
23,"Ok til þings 
þriðja jǫfri 
Hveðrungs mær 
ór heimi bauð, 
þás Halfdan<i>r</i>, 
sás Holtum bjó, 
norna dóms 
of notit hafði. 
Ok buðlung 
á Borrói 
sigrhafendr 
síðan fôlu. ","Ok til þings 
þriðja jǫfri 
Hveðrungs mær 
ór heimi bauð, 
þás Halfdanr, 
sás Holtum bjó, 
norna dóms 
of notit hafði. 
Ok buðlung 
á Borrói 
sigrhafendr 
síðan fôlu. ",Ynglingatal,Þjóð Yt 24<sup>I</sup>,1,Þjóðólfr ór Hvini 
24,"Varð Goðrøðr 
inn gǫfugláti 
lómi beittr, 
sás fyr lǫngu vas. 
Ok umráð 
at ǫlum stilli 
hǫfuð heiptrœkt 
at hilmi dró. 
Ok launsigr 
inn lómgeði 
Ôsu ôrr 
af jǫfri bar. 
Ok buðlungr 
á beði fornum 
Stíflusunds 
of stunginn vas. ","Varð Goðrøðr 
inn gǫfugláti 
lómi beittr, 
sás fyr lǫngu vas. 
Ok umráð 
at ǫlum stilli 
hǫfuð heiptrœkt 
at hilmi dró. 
Ok launsigr 
inn lómgeði 
Ôsu ôrr 
af jǫfri bar. 
Ok buðlungr 
á beði fornum 
Stíflusunds 
of stunginn vas. ",Ynglingatal,Þjóð Yt 25<sup>I</sup>,1,Þjóðólfr ór Hvini 
25,"Ok niðkvísl 
í Nóregi 
þróttar Þrós 
of þróazk hafði. 
Réð Ôleifr 
ofsa forðum 
víðri grund 
of Vestmari, 
unz fótverkr 
við Foldar þrǫm 
vígmiðlung 
of viða skyldi. 
Nú liggr gunndjarfr 
á Geirstǫðum 
herkonungr 
haugi ausinn. ","Ok niðkvísl 
í Nóregi 
þróttar Þrós 
of þróazk hafði. 
Réð Ôleifr 
ofsa forðum 
víðri grund 
of Vestmari, 
unz fótverkr 
við Foldar þrǫm 
vígmiðlung 
of viða skyldi. 
Nú liggr gunndjarfr 
á Geirstǫðum 
herkonungr 
haugi ausinn. ",Ynglingatal,Þjóð Yt 26<sup>I</sup>,1,Þjóðólfr ór Hvini 
26,"Þat veitk bazt 
und blôum himni 
kenninafn, 
svát konungr eigi, 
es Rǫgnvaldr, 
reiðar stjóri, 
heiðumhôr 
of heitinn es. 
Ok mildgeðr 
markar dróttinn ","Þat veitk bazt 
und blôum himni 
kenninafn, 
svát konungr eigi, 
es Rǫgnvaldr, 
reiðar stjóri, 
heiðumhôr 
of heitinn es. 
Ok mildgeðr 
markar dróttinn ",Ynglingatal,Þjóð Yt 27<sup>I</sup>,1,Þjóðólfr ór Hvini 
27,"Margir gerðu         milding snaran 
hraustir menn         heim at sœkja; 
eigi síðr         ǫðling fylgðu 
gamlir menn         ok gerðusk kærir. ","Margir gerðu         milding snaran 
hraustir menn         heim at sœkja; 
eigi síðr         ǫðling fylgðu 
gamlir menn         ok gerðusk kærir. ",Poem about Haraldr hárfagri,Þjóð Har 1<sup>I</sup>,1,Þjóðólfr ór Hvini 
28,"Nam minnigr         marga speki 
af gǫmlum mǫnnum,         sás goll miðlaði. 
Vas ástúðigr         ǫllu folki 
Upplanda gramr         af ǫrleik sínum. ","Nam minnigr         marga speki 
af gǫmlum mǫnnum,         sás goll miðlaði. 
Vas ástúðigr         ǫllu folki 
Upplanda gramr         af ǫrleik sínum. ",Poem about Haraldr hárfagri,Þjóð Har 2<sup>I</sup>,1,Þjóðólfr ór Hvini 
29,"Gaf gǫrpum sínum         goll it rauða 
hilmir hróðigr         ok hringa marga, 
brynjur bjartar         ok branda hvassa, 
skjǫldu skyggða         ok skrautbúna. ","Gaf gǫrpum sínum         goll it rauða 
hilmir hróðigr         ok hringa marga, 
brynjur bjartar         ok branda hvassa, 
skjǫldu skyggða         ok skrautbúna. ",Poem about Haraldr hárfagri,Þjóð Har 3<sup>I</sup>,1,Þjóðólfr ór Hvini 
30,"Leiddisk þá fyr Lúfu         lengr at haldask 
hersa drótt         ok hǫfðingjum. 
Flýði hverr,         sem fara mátti, 
hraustra víkinga         ór Hafrsfirði. ","Leiddisk þá fyr Lúfu         lengr at haldask 
hersa drótt         ok hǫfðingjum. 
Flýði hverr,         sem fara mátti, 
hraustra víkinga         ór Hafrsfirði. ",Poem about Haraldr hárfagri,Þjóð Har 4<sup>I</sup>,1,Þjóðólfr ór Hvini 
31,"Þá vas lofðungr         Lúfa kallaðr 
es í fylkis l…         …kar óxu. 
<i>Á</i>vallt vas kallaðr         með konungs nafni 
Haraldr hárfagri         <i>hil</i>mir síðan. ","Þá vas lofðungr         Lúfa kallaðr 
es í fylkis l…         …kar óxu. 
Ávallt vas kallaðr         með konungs nafni 
Haraldr hárfagri         hilmir síðan. ",Poem about Haraldr hárfagri,Þjóð Har 5<sup>I</sup>,1,Þjóðólfr ór Hvini 
32,"Hǫfðum vér í hǫfði 
hǫgg at eggja leiki 
með vellbrota vitrum; 
vǫruma þá til margir. ","Hǫfðum vér í hǫfði 
hǫgg at eggja leiki 
með vellbrota vitrum; 
vǫruma þá til margir. ",Lausavísur,Þjóð Lv 1<sup>I</sup>,1,Þjóðólfr ór Hvini 
